27
ALA 0 0
ARG 5 729
N CA CB CG
CA CB CG CD
CB CG CD NE
CG CD NE CZ
CD NE CZ NH1
-155.9 -84.4 -59.4 -82.3 180.0
-155.9 -74.4 -59.4 -82.3 180.0
-89.0 77.7 66.3 84.2 180.0
-89.0 87.7 66.3 84.2 180.0
-89.0 97.7 66.3 84.2 180.0
-79.0 77.7 66.3 84.2 180.0
-79.0 87.7 66.3 84.2 180.0
-79.0 97.7 66.3 84.2 180.0
-69.0 77.7 66.3 84.2 180.0
-69.0 87.7 66.3 84.2 180.0
-69.0 97.7 66.3 84.2 180.0
-93.1 71.9 69.8 -178.0 180.0
-93.1 81.9 69.8 -178.0 180.0
-93.1 91.9 69.8 -178.0 180.0
-83.1 71.9 69.8 -178.0 180.0
-83.1 81.9 69.8 -178.0 180.0
-83.1 91.9 69.8 -178.0 180.0
-73.1 71.9 69.8 -178.0 180.0
-73.1 81.9 69.8 -178.0 180.0
-73.1 91.9 69.8 -178.0 180.0
-90.8 76.2 67.4 -101.7 180.0
-90.8 86.2 67.4 -101.7 180.0
-90.8 96.2 67.4 -101.7 180.0
-80.8 76.2 67.4 -101.7 180.0
-80.8 86.2 67.4 -101.7 180.0
-80.8 96.2 67.4 -101.7 180.0
-70.8 76.2 67.4 -101.7 180.0
-70.8 86.2 67.4 -101.7 180.0
-70.8 96.2 67.4 -101.7 180.0
-88.6 63.8 -179.4 85.1 180.0
-88.6 73.8 -179.4 85.1 180.0
-88.6 83.8 -179.4 85.1 180.0
-78.6 63.8 -179.4 85.1 180.0
-78.6 73.8 -179.4 85.1 180.0
-78.6 83.8 -179.4 85.1 180.0
-68.6 63.8 -179.4 85.1 180.0
-68.6 73.8 -179.4 85.1 180.0
-68.6 83.8 -179.4 85.1 180.0
-95.8 60.4 174.6 179.0 180.0
-95.8 70.4 174.6 179.0 180.0
-95.8 80.4 174.6 179.0 180.0
-85.8 60.4 174.6 179.0 180.0
-85.8 70.4 174.6 179.0 180.0
-85.8 80.4 174.6 179.0 180.0
-75.8 60.4 174.6 179.0 180.0
-75.8 70.4 174.6 179.0 180.0
-75.8 80.4 174.6 179.0 180.0
-90.8 69.3 177.3 -81.8 180.0
-90.8 79.3 177.3 -81.8 180.0
-90.8 89.3 177.3 -81.8 180.0
-80.8 69.3 177.3 -81.8 180.0
-80.8 79.3 177.3 -81.8 180.0
-80.8 89.3 177.3 -81.8 180.0
-70.8 69.3 177.3 -81.8 180.0
-70.8 79.3 177.3 -81.8 180.0
-70.8 89.3 177.3 -81.8 180.0
-92.6 67.9 -78.4 102.9 180.0
-92.6 77.9 -78.4 102.9 180.0
-92.6 87.9 -78.4 102.9 180.0
-82.6 67.9 -78.4 102.9 180.0
-82.6 77.9 -78.4 102.9 180.0
-82.6 87.9 -78.4 102.9 180.0
-72.6 67.9 -78.4 102.9 180.0
-72.6 77.9 -78.4 102.9 180.0
-72.6 87.9 -78.4 102.9 180.0
-95.1 67.1 -91.5 168.7 180.0
-95.1 77.1 -91.5 168.7 180.0
-95.1 87.1 -91.5 168.7 180.0
-85.1 67.1 -91.5 168.7 180.0
-85.1 77.1 -91.5 168.7 180.0
-85.1 87.1 -91.5 168.7 180.0
-75.1 67.1 -91.5 168.7 180.0
-75.1 77.1 -91.5 168.7 180.0
-75.1 87.1 -91.5 168.7 180.0
-91.6 68.0 -79.6 -84.1 180.0
-91.6 78.0 -79.6 -84.1 180.0
-91.6 88.0 -79.6 -84.1 180.0
-81.6 68.0 -79.6 -84.1 180.0
-81.6 78.0 -79.6 -84.1 180.0
-81.6 88.0 -79.6 -84.1 180.0
-71.6 68.0 -79.6 -84.1 180.0
-71.6 78.0 -79.6 -84.1 180.0
-71.6 88.0 -79.6 -84.1 180.0
-76.2 169.5 66.1 84.3 180.0
-76.2 179.5 66.1 84.3 180.0
-76.2 -170.5 66.1 84.3 180.0
-66.2 169.5 66.1 84.3 180.0
-66.2 179.5 66.1 84.3 180.0
-66.2 -170.5 66.1 84.3 180.0
-56.2 169.5 66.1 84.3 180.0
-56.2 179.5 66.1 84.3 180.0
-56.2 -170.5 66.1 84.3 180.0
-76.7 168.5 65.6 -170.1 180.0
-76.7 178.5 65.6 -170.1 180.0
-76.7 -171.5 65.6 -170.1 180.0
-66.7 168.5 65.6 -170.1 180.0
-66.7 178.5 65.6 -170.1 180.0
-66.7 -171.5 65.6 -170.1 180.0
-56.7 168.5 65.6 -170.1 180.0
-56.7 178.5 65.6 -170.1 180.0
-56.7 -171.5 65.6 -170.1 180.0
-77.2 171.5 63.1 -101.8 180.0
-77.2 -178.5 63.1 -101.8 180.0
-77.2 -168.5 63.1 -101.8 180.0
-67.2 171.5 63.1 -101.8 180.0
